Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,main,solar_output,wind_output,total_renewable,renewable_ratio,energy_source
20.5,34.045,0.0,782.0,0.0050822811093304,0,1899.6802322767307,417.6798431957302,65.82202855428342,483.5018717500136,0.2545175043331086,MAINS
22.29,25.7,441.0,1045.66666666667,0.0042758224818962,1,1031.9408037448902,501.0053540565337,296.7244625677876,797.7298166243213,0.773038350387326,MAINS
20.39,33.0,0.0,520.0,0.0048914546290098,0,2756.004331900285,827.2956542056515,283.81549280597307,1111.1111470116246,0.4031601598555926,MAINS
19.6333333333333,19.4266666666667,31.0,454.333333333333,0.0027382560181421,0,336.2502410503291,163.61824113333205,123.26269574710224,286.8809368804343,0.8531768958271012,MAINS
20.0,18.6,0.0,432.0,0.0026818070723918,0,297.3314685905199,491.6810329540932,106.20959332549258,597.8906262795858,2.0108555246904967,ECO_SOURCE
21.29,19.6666666666667,131.333333333333,665.333333333333,0.0030721906494104,0,1207.5097217823861,453.6561055174402,141.3002506261702,594.9563561436104,0.49271351228990906,MAINS
20.2,21.2,0.0,449.0,0.0030968140539317,0,682.6818138944654,455.48108021201455,230.7887137997789,686.2697940117935,1.005255713634526,MAINS
20.7,26.79,183.0,424.75,0.0040421521154737,0,345.57597637796806,382.1489826310629,172.877180592342,555.0261632234049,1.6060901253632114,ECO_SOURCE
19.39,30.575,14.0,426.5,0.0042552450984883,0,412.5737375194998,718.1603696326067,326.0921725940874,1044.252542226694,2.531068866634631,ECO_SOURCE
19.7,29.1,0.0,440.0,0.0041279252071921,0,403.67090625791207,181.95259151777532,166.46415894563137,348.4167504634067,0.863120787408933,MAINS
20.34,33.0,0.0,450.5,0.0048762524487232,0,259.3563949032993,807.3101107897562,141.32865503211264,948.6387658218689,3.6576648367416102,ECO_SOURCE
19.5,27.7,0.0,447.0,0.003879261158354,0,407.2761710213585,434.33263039754377,265.8612475547166,700.1938779522604,1.719211502593754,ECO_SOURCE
22.2,27.025,444.0,1114.5,0.0044731075349642,1,1183.5176798267657,397.9123766065885,87.44530623564597,485.35768284223445,0.4100975347603404,MAINS
21.79,21.65,438.0,927.25,0.0034894536917714,1,1312.7600385792475,490.4153827252064,354.33390065067954,844.749283375886,0.6434910102002552,MAINS
22.2,26.8566666666667,444.0,1097.33333333333,0.0044450463275202,1,1664.6739636764166,674.6516547251921,140.85946745980374,815.5111221849959,0.4898923993404374,MAINS
22.1,38.8633333333333,442.333333333333,1995.33333333333,0.0064132855393714,1,1384.47289684109,543.7861865516514,166.18609817402296,709.9722847256744,0.5128105334135444,MAINS
19.7,19.39,0.0,444.0,0.0027444541255403,0,406.7327244460472,404.61138278824336,123.61186039248065,528.223243180724,1.2986986574540855,ECO_SOURCE
19.1333333333333,31.39,0.0,433.333333333333,0.0042996771186515,0,291.6144445905391,293.1401564396801,63.097527297911554,356.2376837375916,1.2216050691103149,ECO_SOURCE
19.7,19.39,0.0,437.0,0.0027444541255403,0,457.9563471005365,562.5948708965157,216.77308631508723,779.3679572116029,1.7018389681593515,ECO_SOURCE
19.89,26.7,0.0,438.75,0.0038305689319086,0,295.4525628526109,684.3153254004578,59.49154680373096,743.8068722041888,2.517517076253095,ECO_SOURCE
22.0,38.59,438.0,1940.0,0.0063286156947842,1,1036.0162074829113,692.338874880062,199.0646529493045,891.4035278293666,0.8604146550902968,MAINS
