Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,main,solar_output,wind_output,total_renewable,renewable_ratio,energy_source,light_out,humidity_solar_out,temperature_out,wind_speed_out,atmp_out,humidity_wind_out
20.5,34.045,0.0,782.0,0.0050822811093304,0,1899.6802322767307,417.6798431957302,65.82202855428342,483.5018717500136,0.2545175043331086,MAINS,45183.3162149621,46.58465085503671,25.838929970912677,1.9743908222218731,26.50605314441305,29.40696097221338
22.29,25.7,441.0,1045.66666666667,0.0042758224818962,1,1031.9408037448902,501.0053540565337,296.7244625677876,797.7298166243213,0.773038350387326,MAINS,44189.873619377075,30.622602001144713,25.90991307214628,9.049118865625415,23.586978449656506,48.53445367968374
20.39,33.0,0.0,520.0,0.0048914546290098,0,2756.004331900285,827.2956542056515,283.81549280597307,1111.1111470116246,0.4031601598555926,MAINS,84447.99133374308,30.00207690436637,31.777761039053445,7.5812614095784125,21.496637580070782,45.35224364841237
19.6333333333333,19.4266666666667,31.0,454.333333333333,0.0027382560181421,0,336.2502410503291,163.61824113333205,123.26269574710224,286.8809368804343,0.8531768958271012,MAINS,14692.16792685642,52.869945068368175,23.114650797388364,3.703547495435086,25.74583288152819,29.425903164984046
20.0,18.6,0.0,432.0,0.0026818070723918,0,297.3314685905199,491.6810329540932,106.20959332549258,597.8906262795858,2.0108555246904967,ECO_SOURCE,52597.24469811216,38.563557061128215,27.194839176030932,3.218446742954083,26.684472321490738,31.09968770154126
21.29,19.6666666666667,131.333333333333,665.333333333333,0.0030721906494104,0,1207.5097217823861,453.6561055174402,141.3002506261702,594.9563561436104,0.49271351228990906,MAINS,47161.149455168445,50.86649986993261,25.279169608944773,4.159256629665711,24.497158614682483,28.826582956137287
20.2,21.2,0.0,449.0,0.0030968140539317,0,682.6818138944654,455.48108021201455,230.7887137997789,686.2697940117935,1.005255713634526,MAINS,43434.453795995934,42.50608177540515,27.306496065138806,6.19800444035996,22.926529003407644,43.367697789026494
20.7,26.79,183.0,424.75,0.0040421521154737,0,345.57597637796806,382.1489826310629,172.877180592342,555.0261632234049,1.6060901253632114,ECO_SOURCE,38635.87607057939,42.0793432146902,24.31341455197754,4.88745901562593,25.39513891426041,29.87562124893465
19.39,30.575,14.0,426.5,0.0042552450984883,0,412.5737375194998,718.1603696326067,326.0921725940874,1044.252542226694,2.531068866634631,ECO_SOURCE,64846.48479651641,32.50574631608798,28.500960870039457,8.597948961250996,23.425042041403717,46.475679059618706
19.7,29.1,0.0,440.0,0.0041279252071921,0,403.67090625791207,181.95259151777532,166.46415894563137,348.4167504634067,0.863120787408933,MAINS,20193.100729067137,59.87855951901289,23.949843807751588,4.558166396244392,25.47556556489084,35.03620461364509
20.34,33.0,0.0,450.5,0.0048762524487232,0,259.3563949032993,807.3101107897562,141.32865503211264,948.6387658218689,3.6576648367416102,ECO_SOURCE,90560.52470354506,33.40780606708044,28.19498974176657,3.3458200774688134,25.026757510930512,33.98463076018871
19.5,27.7,0.0,447.0,0.003879261158354,0,407.2761710213585,434.33263039754377,265.8612475547166,700.1938779522604,1.719211502593754,ECO_SOURCE,46071.648222504344,47.800160785480955,27.009921750921478,6.116885343072296,22.241841391095377,35.788385685512736
22.2,27.025,444.0,1114.5,0.0044731075349642,1,1183.5176798267657,397.9123766065885,87.44530623564597,485.35768284223445,0.4100975347603404,MAINS,41133.33343231516,34.304962749043106,25.008491065942465,2.034774095162192,26.43335871100895,28.75831373783841
21.79,21.65,438.0,927.25,0.0034894536917714,1,1312.7600385792475,490.4153827252064,354.33390065067954,844.749283375886,0.6434910102002552,MAINS,54769.387738676254,30.752919178874652,24.57045373289554,10.235147276416289,20.200604276582975,41.99096059353288
